date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:23:47	379/379	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2021%20Aug%202012%2008:27:31%20GMT	http://cs.payap.ac.th/bob	d:/myweb/Wiki/bob.0.delayed	(from )
15:23:47	16012/16012	---M--	200	added ('OK')	text/html	etag:%22228000000002b55-3e8c-4bfde046e58dd%22	http://cs.payap.ac.th/bob/	d:/myweb/Wiki/index-2.html	(from )
15:23:48	1125/1125	---MC-	404	error ('Not%20Found')	text/html	date:Tue,%2021%20Aug%202012%2008:27:31%20GMT	http://cs.payap.ac.th/robots.txt		(from )
15:23:48	1150/1150	---M--	200	added ('OK')	image/x-icon	etag:%22248000000002110-47e-4b97e68635e35%22	http://cs.payap.ac.th/bob/favicon.ico	d:/myweb/Wiki/favicon.ico	(from )
15:23:49	18392/18392	---M--	200	added ('OK')	image/jpeg	etag:%221a00000001e8a3-47d8-4baab3652cbd7%22	http://cs.payap.ac.th/bob/images/bobpic.jpg	d:/myweb/Wiki/bobpic.jpg	(from )
15:23:53	20506/20506	---M--	200	added ('OK')	application/xml	etag:%222b000000001ded0-501a-4bc64e40389d2%22	http://cs.payap.ac.th/bob/SundaySchool/SundaySchool.xml	d:/myweb/Wiki/sundayschool.xml	(from )
15:23:54	40772/40772	---M--	200	added ('OK')	image/png	etag:%221900000001ff3b-9f44-4baab45c4f7e8%22	http://cs.payap.ac.th/bob/images/PYUen.png	d:/myweb/Wiki/pyuen.png	(from )
15:23:54	11874/11874	---MC-	200	added ('OK')	text/html	date:Tue,%2021%20Aug%202012%2008:27:37%20GMT	http://cs.payap.ac.th/bob/wiki/pmwiki.php	d:/myweb/Wiki/pmwiki.html	(from )
15:23:56	28020/28020	---MC-	200	added ('OK')	text/html	date:Tue,%2021%20Aug%202012%2008:27:38%20GMT	http://cs.payap.ac.th/bob/wiki/pmwiki.php?n=Main.SoftwareResources	d:/myweb/Wiki/pmwiki208e.html	(from )
15:23:57	13831/13831	---M--	200	added ('OK')	image/png	etag:%22b00000001e8ab-3607-4bab91f242736%22	http://cs.payap.ac.th/bob/images/gcc.png	d:/myweb/Wiki/gcc.png	(from )
15:23:57	49830/49830	---M--	200	added ('OK')	image/png	etag:%22388400000001e893-c2a6-4baaabe64aea1%22	http://cs.payap.ac.th/bob/add.png	d:/myweb/Wiki/add.png	(from )
15:23:57	49830/49830	---M--	200	added ('OK')	image/png	etag:%22800000001ff55-c2a6-4baab9815d53a%22	http://cs.payap.ac.th/bob/images/add.png	d:/myweb/Wiki/add-2.png	(from )
15:23:58	153601/153601	---M--	200	added ('OK')	text/html	date:Tue,%2021%20Aug%202012%2008:25:12%20GMT	http://www.oracle.com/technetwork/java/javase/downloads/index.html	d:/myweb/Wiki/index-5.html	(from )
15:23:58	14991/14991	---M--	200	added ('OK')	text/html	etag:%22a8bc874d1f4b8d43f1ea919ce4097b2c%22	http://www.mingw.org/	d:/myweb/Wiki/index-4.html	(from http://cs.payap.ac.th/bob/)
15:24:00	8341/8341	---M--	200	added ('OK')	image/png	etag:%223900000001e953-2095-4baab45ab381c%22	http://cs.payap.ac.th/bob/images/python.png	d:/myweb/Wiki/python.png	(from )
15:24:00	23469/23469	---M--	200	added ('OK')	image/png	etag:%221100000001e8d5-5bad-4baab3ca4b469%22	http://cs.payap.ac.th/bob/images/java.png	d:/myweb/Wiki/java.png	(from )
15:24:02	282/282	---M--	403	error ('Forbidden')	text/html	date:Tue,%2021%20Aug%202012%2008:25:15%20GMT	http://www.python.org/	d:/myweb/Wiki/index-6.html	(from http://cs.payap.ac.th/bob/)
15:24:02	2331/2331	---M--	200	added ('OK')	image/png	etag:%222b00000001e928-91b-4baab3cb527d6%22	http://cs.payap.ac.th/bob/images/METAFONT.png	d:/myweb/Wiki/metafont.png	(from )
15:24:02	10758/10758	---MC-	200	added ('OK')	text/html	date:Tue,%2021%20Aug%202012%2008:25:16%20GMT	http://www.ruby-lang.org/en/	d:/myweb/Wiki/index-7.html	(from http://cs.payap.ac.th/bob/)
15:24:02	2523/2523	---M--	200	added ('OK')	image/gif	etag:%2215900000000272d-9db-4babf50542008%22	http://cs.payap.ac.th/bob/images/php.gif	d:/myweb/Wiki/php.gif	(from )
15:24:03	9901/9901	---M--	200	added ('OK')	image/png	etag:%221600000001e92d-26ad-4baab3cb9ec8a%22	http://cs.payap.ac.th/bob/images/octavelogo.png	d:/myweb/Wiki/octavelogo.png	(from )
15:24:03	1125/1125	---MC-	404	error ('Not%20Found')	text/html	date:Tue,%2021%20Aug%202012%2008:27:46%20GMT	http://cs.payap.ac.th/bob/r	d:/myweb/Wiki/r.12.delayed	(from )
15:24:04	12850/12850	---M--	200	added ('OK')	text/html	date:Tue,%2021%20Aug%202012%2008:25:19%20GMT	http://www.processing.org/	d:/myweb/Wiki/index-9.html	(from http://cs.payap.ac.th/bob/)
15:24:06	53684/53684	---M--	200	added ('OK')	image/png	etag:%22b00000001ff3d-d1b4-4baab46720f6e%22	http://cs.payap.ac.th/bob/images/ruby.png	d:/myweb/Wiki/ruby.png	(from )
15:24:09	1125/1125	---MC-	404	error ('Not%20Found')	text/html	date:Tue,%2021%20Aug%202012%2008:27:50%20GMT	http://cs.payap.ac.th/bob/scratch	d:/myweb/Wiki/scratch.14.delayed	(from )
15:24:09	46738/46738	---MC-	200	added ('OK')	text/html	date:Tue,%2021%20Aug%202012%2011:20:18%20GMT	http://www.php.net/	d:/myweb/Wiki/index-8.html	(from http://cs.payap.ac.th/bob/)
15:24:09	4047/4047	---M--	200	added ('OK')	image/png	etag:%22c00000001ff3e-fcf-4bac759b1d1aa%22	http://cs.payap.ac.th/bob/images/SCRATCH.png	d:/myweb/Wiki/scratch.png	(from )
15:24:10	48756/48756	---M--	200	added ('OK')	image/png	etag:%222e00000001e952-be74-4baab45a8d5c2%22	http://cs.payap.ac.th/bob/images/processing.png	d:/myweb/Wiki/processing.png	(from )
15:24:10	11559/11559	---M--	200	added ('OK')	image/png	etag:%221200000001ff40-2d27-4babee95344c9%22	http://cs.payap.ac.th/bob/images/sqlite.png	d:/myweb/Wiki/sqlite.png	(from )
15:24:10	389/389	---M--	302	error ('Found')	text/html	date:Tue,%2021%20Aug%202012%2008:25:25%20GMT	http://scripts.sil.org/xetex	d:/myweb/Wiki/xetex.17.delayed	(from )
